family,genus,species
Acipenseridae,Acipenser,baerii
Acipenseridae,Acipenser,baerii
Acipenseridae,Acipenser,baerii
Acipenseridae,Acipenser,brevirostrum
Acipenseridae,Acipenser,dabryanus
Acipenseridae,Acipenser,fulvescens
Acipenseridae,Acipenser,gueldenstaedtii
Acipenseridae,Acipenser,medirostris
Acipenseridae,Acipenser,mikadoi
Acipenseridae,Acipenser,multiscutatus
Acipenseridae,Acipenser,naccarii
Acipenseridae,Acipenser,nudiventris
Acipenseridae,Acipenser,oxyrinchus
Acipenseridae,Acipenser,oxyrinchus
Acipenseridae,Acipenser,oxyrinchus
Acipenseridae,Acipenser,persicus
Acipenseridae,Acipenser,ruthenus
Acipenseridae,Acipenser,schrenckii
Acipenseridae,Acipenser,sinensis
Acipenseridae,Acipenser,stellatus
Acipenseridae,Acipenser,sturio
Acipenseridae,Acipenser,transmontanus
Acipenseridae,Huso,dauricus
Acipenseridae,Huso,huso
Acipenseridae,Pseudoscaphirhynchus,fedtschenkoi
Acipenseridae,Pseudoscaphirhynchus,hermanni
Acipenseridae,Pseudoscaphirhynchus,kaufmanni
Acipenseridae,Scaphirhynchus,albus
Acipenseridae,Scaphirhynchus,platorynchus
Acipenseridae,Scaphirhynchus,suttkusi
Polyodontidae,Polyodon,spathula
Polyodontidae,Psephurus,gladius
Albulidae,Albula,argentea
Albulidae,Albula,forsteri
Albulidae,Albula,glossodonta
Albulidae,Albula,nemoptera
Albulidae,Albula,neoguinaica
Albulidae,Albula,vulpes
Albulidae,Pterothrissus,belloci
Albulidae,Pterothrissus,gissu
Amiidae,Amia,calva
Anguillidae,Anguilla,anguilla
Anguillidae,Anguilla,australis
Anguillidae,Anguilla,australis
Anguillidae,Anguilla,australis
Anguillidae,Anguilla,bengalensis
Anguillidae,Anguilla,bengalensis
Anguillidae,Anguilla,bengalensis
Anguillidae,Anguilla,bicolor
Anguillidae,Anguilla,bicolor
Anguillidae,Anguilla,bicolor
Anguillidae,Anguilla,breviceps
Anguillidae,Anguilla,celebesensis
Anguillidae,Anguilla,dieffenbachii
Anguillidae,Anguilla,interioris
Anguillidae,Anguilla,japonica
Anguillidae,Anguilla,malgumora
Anguillidae,Anguilla,marmorata
Anguillidae,Anguilla,megastoma
Anguillidae,Anguilla,mossambica
Anguillidae,Anguilla,nebulosa
Anguillidae,Anguilla,nigricans
Anguillidae,Anguilla,obscura
Anguillidae,Anguilla,reinhardtii
Anguillidae,Anguilla,rostrata
Chlopsidae,Boehlkenchelys,longidentata
Chlopsidae,Catesbya,pseudomuraena
Chlopsidae,Chilorhinus,platyrhynchus
Chlopsidae,Chilorhinus,suensonii
Chlopsidae,Chlopsis,apterus
Chlopsidae,Chlopsis,bicollaris
Chlopsidae,Chlopsis,bicolor
Chlopsidae,Chlopsis,bidentatus
Chlopsidae,Chlopsis,dentatus
Chlopsidae,Chlopsis,kazuko
Chlopsidae,Chlopsis,longidens
Chlopsidae,Chlopsis,olokun
Chlopsidae,Chlopsis,slusserorum
Chlopsidae,Kaupichthys,atronasus
Chlopsidae,Kaupichthys,brachychirus
Chlopsidae,Kaupichthys,diodontus
Chlopsidae,Kaupichthys,hyoproroides
Chlopsidae,Kaupichthys,japonicus
Chlopsidae,Kaupichthys,nuchalis
Chlopsidae,Powellichthys,ventriosus
Chlopsidae,Robinsia,catherinae
Chlopsidae,Thalassenchelys,coheni
Chlopsidae,Thalassenchelys,foliaceus
Chlopsidae,Xenoconger,fryeri
Colocongridae,Coloconger,cadenati
Colocongridae,Coloconger,canina
Colocongridae,Coloconger,eximia
Colocongridae,Coloconger,giganteus
Colocongridae,Coloconger,japonicus
Colocongridae,Coloconger,meadi
Colocongridae,Coloconger,raniceps
Colocongridae,Coloconger,scholesi
Congridae,Acromycter,alcocki
Congridae,Acromycter,atlanticus
Congridae,Acromycter,longipectoralis
Congridae,Acromycter,nezumi
Congridae,Acromycter,perturbator
Congridae,Ariosoma,anago
Congridae,Ariosoma,anagoides
Congridae,Ariosoma,anale
Congridae,Ariosoma,balearicum
Congridae,Ariosoma,bauchotae
Congridae,Ariosoma,coquettei
Congridae,Ariosoma,gilberti
Congridae,Ariosoma,howensis
Congridae,Ariosoma,major
Congridae,Ariosoma,marginatum
Congridae,Ariosoma,mauritianum
Congridae,Ariosoma,meeki
Congridae,Ariosoma,megalops
Congridae,Ariosoma,mellissii
Congridae,Ariosoma,multivertebratum
Congridae,Ariosoma,nancyae
Congridae,Ariosoma,nigrimanum
Congridae,Ariosoma,obud
Congridae,Ariosoma,ophidiophthalmus
Congridae,Ariosoma,opistophthalmus
Congridae,Ariosoma,sazonovi
Congridae,Ariosoma,scheelei
Congridae,Ariosoma,selenops
Congridae,Ariosoma,sereti
Congridae,Ariosoma,shiroanago
Congridae,Ariosoma,sokotranum
Congridae,Bassanago,bulbiceps
Congridae,Bassanago,hirsutus
Congridae,Bathycongrus,aequoreus
Congridae,Bathycongrus,bleekeri
Congridae,Bathycongrus,bullisi
Congridae,Bathycongrus,dubius
Congridae,Bathycongrus,guttulatus
Congridae,Bathycongrus,macrocercus
Congridae,Bathycongrus,macrurus
Congridae,Bathycongrus,nasicus
Congridae,Bathycongrus,odontostomus
Congridae,Bathycongrus,polyporus
Congridae,Bathycongrus,retrotinctus
Congridae,Bathycongrus,thysanochilus
Congridae,Bathycongrus,trilineatus
Congridae,Bathycongrus,varidens
Congridae,Bathycongrus,vicinalis
Congridae,Bathycongrus,wallacei
Congridae,Bathymyrus,echinorhynchus
Congridae,Bathymyrus,simus
Congridae,Bathymyrus,smithi
Congridae,Bathyuroconger,parvibranchialis
Congridae,Bathyuroconger,vicinus
Congridae,Blachea,longicaudalis
Congridae,Blachea,xenobranchialis
Congridae,Chiloconger,dentatus
Congridae,Chiloconger,philippinensis
Congridae,Conger,cinereus
Congridae,Conger,conger
Congridae,Conger,erebennus
Congridae,Conger,esculentus
Congridae,Conger,japonicus
Congridae,Conger,macrocephalus
Congridae,Conger,myriaster
Congridae,Conger,oceanicus
Congridae,Conger,oligoporus
Congridae,Conger,orbignianus
Congridae,Conger,philippinus
Congridae,Conger,triporiceps
Congridae,Conger,verreauxi
Congridae,Conger,wilsoni
Congridae,Congrhynchus,talabonoides
Congridae,Congriscus,maldivensis
Congridae,Congriscus,marquesaensis
Congridae,Congriscus,megastomus
Congridae,Congrosoma,evermanni
Congridae,Diploconger,polystigmatus
Congridae,Gnathophis,andriashevi
Congridae,Gnathophis,asanoi
Congridae,Gnathophis,bathytopos
Congridae,Gnathophis,bracheatopos
Congridae,Gnathophis,capensis
Congridae,Gnathophis,castlei
Congridae,Gnathophis,cinctus
Congridae,Gnathophis,codoniphorus
Congridae,Gnathophis,grahami
Congridae,Gnathophis,habenatus
Congridae,Gnathophis,heterognathos
Congridae,Gnathophis,heterolinea
Congridae,Gnathophis,leptosomatus
Congridae,Gnathophis,longicauda
Congridae,Gnathophis,macroporis
Congridae,Gnathophis,melanocoelus
Congridae,Gnathophis,microps
Congridae,Gnathophis,musteliceps
Congridae,Gnathophis,mystax
Congridae,Gnathophis,nasutus
Congridae,Gnathophis,neocaledoniensis
Congridae,Gnathophis,parini
Congridae,Gnathophis,smithi
Congridae,Gnathophis,tritos
Congridae,Gnathophis,umbrellabius
Congridae,Gnathophis,xenica
Congridae,Gorgasia,barnesi
Congridae,Gorgasia,cotroneii
Congridae,Gorgasia,galzini
Congridae,Gorgasia,hawaiiensis
Congridae,Gorgasia,inferomaculata
Congridae,Gorgasia,japonica
Congridae,Gorgasia,klausewitzi
Congridae,Gorgasia,maculata
Congridae,Gorgasia,naeocepaea
Congridae,Gorgasia,preclara
Congridae,Gorgasia,punctata
Congridae,Gorgasia,sillneri
Congridae,Gorgasia,taiwanensis
Congridae,Gorgasia,thamani
Congridae,Heteroconger,balteatus
Congridae,Heteroconger,camelopardalis
Congridae,Heteroconger,canabus
Congridae,Heteroconger,chapmani
Congridae,Heteroconger,cobra
Congridae,Heteroconger,digueti
Congridae,Heteroconger,enigmaticus
Congridae,Heteroconger,hassi
Congridae,Heteroconger,klausewitzi
Congridae,Heteroconger,lentiginosus
Congridae,Heteroconger,longissimus
Congridae,Heteroconger,luteolus
Congridae,Heteroconger,obscurus
Congridae,Heteroconger,pellegrini
Congridae,Heteroconger,perissodon
Congridae,Heteroconger,polyzona
Congridae,Heteroconger,taylori
Congridae,Heteroconger,tomberua
Congridae,Heteroconger,tricia
Congridae,Japonoconger,africanus
Congridae,Japonoconger,caribbeus
Congridae,Japonoconger,sivicolus
Congridae,Kenyaconger,heemstrai
Congridae,Leptocephalus,congroides
Congridae,Lumiconger,arafura
Congridae,Macrocephenchelys,brachialis
Congridae,Macrocephenchelys,brevirostris
Congridae,Ophisoma,prorigerum
Congridae,Parabathymyrus,brachyrhynchus
Congridae,Parabathymyrus,fijiensis
Congridae,Parabathymyrus,karrerae
Congridae,Parabathymyrus,macrophthalmus
Congridae,Parabathymyrus,oregoni
Congridae,Paraconger,californiensis
Congridae,Paraconger,caudilimbatus
Congridae,Paraconger,guianensis
Congridae,Paraconger,macrops
Congridae,Paraconger,notialis
Congridae,Paraconger,ophichthys
Congridae,Paraconger,similis
Congridae,Paruroconger,drachi
Congridae,Poeciloconger,fasciatus
Congridae,Poeciloconger,kapala
Congridae,Promyllantor,adenensis
Congridae,Promyllantor,atlanticus
Congridae,Promyllantor,purpureus
Congridae,Pseudophichthys,splendens
Congridae,Pseudoxenomystax,albescens
Congridae,Pseudoxenomystax,nielseni
Congridae,Rhechias,bertini
Congridae,Rhynchoconger,ectenurus
Congridae,Rhynchoconger,flavus
Congridae,Rhynchoconger,gracilior
Congridae,Rhynchoconger,guppyi
Congridae,Rhynchoconger,nitens
Congridae,Rhynchoconger,squaliceps
Congridae,Rhynchoconger,trewavasae
Congridae,Scalanago,lateralis
Congridae,Uroconger,erythraeus
Congridae,Uroconger,lepturus
Congridae,Uroconger,syringinus
Congridae,Xenomystax,atrarius
Congridae,Xenomystax,austrinus
Congridae,Xenomystax,bidentatus
Congridae,Xenomystax,congroides
Congridae,Xenomystax,trucidans
Derichthyidae,Derichthys,serpentinus
Derichthyidae,Nessorhamphus,danae
Derichthyidae,Nessorhamphus,ingolfianus
Heterenchelyidae,Panturichthys,fowleri
Heterenchelyidae,Panturichthys,isognathus
Heterenchelyidae,Panturichthys,longus
Heterenchelyidae,Panturichthys,mauritanicus
Heterenchelyidae,Pythonichthys,asodes
Heterenchelyidae,Pythonichthys,macrurus
Heterenchelyidae,Pythonichthys,microphthalmus
Heterenchelyidae,Pythonichthys,sanguineus
Moringuidae,Moringua,abbreviata
Moringuidae,Moringua,arundinacea
Moringuidae,Moringua,bicolor
Moringuidae,Moringua,edwardsi
Moringuidae,Moringua,ferruginea
Moringuidae,Moringua,javanica
Moringuidae,Moringua,macrocephalus
Moringuidae,Moringua,macrochir
Moringuidae,Moringua,microchir
Moringuidae,Moringua,penni
Moringuidae,Moringua,raitaborua
Moringuidae,Neoconger,mucronatus
Moringuidae,Neoconger,tuberculatus
Moringuidae,Neoconger,vermiformis
Muraenesocidae,Congresox,talabon
Muraenesocidae,Congresox,talabonoides
Muraenesocidae,Cynoponticus,coniceps
Muraenesocidae,Cynoponticus,ferox
Muraenesocidae,Cynoponticus,savanna
Muraenesocidae,Gavialiceps,arabicus
Muraenesocidae,Gavialiceps,bertelseni
Muraenesocidae,Gavialiceps,javanicus
Muraenesocidae,Gavialiceps,taeniola
Muraenesocidae,Gavialiceps,taiwanensis
Muraenesocidae,Muraenesox,bagio
Muraenesocidae,Muraenesox,cinereus
Muraenesocidae,Oxyconger,leptognathus
Muraenidae,Anarchias,allardicei
Muraenidae,Anarchias,cantonensis
Muraenidae,Anarchias,euryurus
Muraenidae,Anarchias,galapagensis
Muraenidae,Anarchias,leucurus
Muraenidae,Anarchias,longicaudis
Muraenidae,Anarchias,maldiviensis
Muraenidae,Anarchias,seychellensis
Muraenidae,Anarchias,similis
Muraenidae,Channomuraena,bauchotae
Muraenidae,Channomuraena,vittata
Muraenidae,Cirrimaxilla,formosa
Muraenidae,Echidna,amblyodon
Muraenidae,Echidna,catenata
Muraenidae,Echidna,delicatula
Muraenidae,Echidna,leucotaenia
Muraenidae,Echidna,nebulosa
Muraenidae,Echidna,nocturna
Muraenidae,Echidna,peli
Muraenidae,Echidna,polyzona
Muraenidae,Echidna,rhodochilus
Muraenidae,Echidna,unicolor
Muraenidae,Echidna,xanthospilos
Muraenidae,Enchelycore,anatina
Muraenidae,Enchelycore,bayeri
Muraenidae,Enchelycore,bikiniensis
Muraenidae,Enchelycore,carychroa
Muraenidae,Enchelycore,kamara
Muraenidae,Enchelycore,lichenosa
Muraenidae,Enchelycore,nigricans
Muraenidae,Enchelycore,nycturanus
Muraenidae,Enchelycore,octaviana
Muraenidae,Enchelycore,pardalis
Muraenidae,Enchelycore,ramosa
Muraenidae,Enchelycore,schismatorhynchus
Muraenidae,Enchelycore,tamarae
Muraenidae,Enchelynassa,canina
Muraenidae,Gymnomuraena,zebra
Muraenidae,Gymnothorax,afer
Muraenidae,Gymnothorax,albimarginatus
Muraenidae,Gymnothorax,angusticauda
Muraenidae,Gymnothorax,angusticeps
Muraenidae,Gymnothorax,annasona
Muraenidae,Gymnothorax,annulatus
Muraenidae,Gymnothorax,atolli
Muraenidae,Gymnothorax,australicola
Muraenidae,Gymnothorax,austrinus
Muraenidae,Gymnothorax,bacalladoi
Muraenidae,Gymnothorax,bathyphilus
Muraenidae,Gymnothorax,berndti
Muraenidae,Gymnothorax,breedeni
Muraenidae,Gymnothorax,buroensis
Muraenidae,Gymnothorax,castaneus
Muraenidae,Gymnothorax,castlei
Muraenidae,Gymnothorax,cephalospilus
Muraenidae,Gymnothorax,chilospilus
Muraenidae,Gymnothorax,chlamydatus
Muraenidae,Gymnothorax,conspersus
Muraenidae,Gymnothorax,cribroris
Muraenidae,Gymnothorax,dorsalis
Muraenidae,Gymnothorax,dovii
Muraenidae,Gymnothorax,elegans
Muraenidae,Gymnothorax,enigmaticus
Muraenidae,Gymnothorax,equatorialis
Muraenidae,Gymnothorax,eurostus
Muraenidae,Gymnothorax,eurygnathos
Muraenidae,Gymnothorax,favagineus
Muraenidae,Gymnothorax,fimbriatus
Muraenidae,Gymnothorax,flavimarginatus
Muraenidae,Gymnothorax,flavoculus
Muraenidae,Gymnothorax,formosus
Muraenidae,Gymnothorax,funebris
Muraenidae,Gymnothorax,fuscomaculatus
Muraenidae,Gymnothorax,gracilicauda
Muraenidae,Gymnothorax,griseus
Muraenidae,Gymnothorax,hansi
Muraenidae,Gymnothorax,hepaticus
Muraenidae,Gymnothorax,herrei
Muraenidae,Gymnothorax,hubbsi
Muraenidae,Gymnothorax,intesi
Muraenidae,Gymnothorax,isingteena
Muraenidae,Gymnothorax,javanicus
Muraenidae,Gymnothorax,johnsoni
Muraenidae,Gymnothorax,kidako
Muraenidae,Gymnothorax,kolpos
Muraenidae,Gymnothorax,kontodontos
Muraenidae,Gymnothorax,longinquus
Muraenidae,Gymnothorax,maderensis
Muraenidae,Gymnothorax,mareei
Muraenidae,Gymnothorax,margaritophorus
Muraenidae,Gymnothorax,marshallensis
Muraenidae,Gymnothorax,mccoskeri
Muraenidae,Gymnothorax,megaspilus
Muraenidae,Gymnothorax,melatremus
Muraenidae,Gymnothorax,meleagris
Muraenidae,Gymnothorax,microspila
Muraenidae,Gymnothorax,microstictus
Muraenidae,Gymnothorax,miliaris
Muraenidae,Gymnothorax,minor
Muraenidae,Gymnothorax,moluccensis
Muraenidae,Gymnothorax,monochrous
Muraenidae,Gymnothorax,monostigma
Muraenidae,Gymnothorax,mordax
Muraenidae,Gymnothorax,moringa
Muraenidae,Gymnothorax,mucifer
Muraenidae,Gymnothorax,nasuta
Muraenidae,Gymnothorax,neglectus
Muraenidae,Gymnothorax,nigromarginatus
Muraenidae,Gymnothorax,niphostigmus
Muraenidae,Gymnothorax,nubilus
Muraenidae,Gymnothorax,nudivomer
Muraenidae,Gymnothorax,nuttingi
Muraenidae,Gymnothorax,obesus
Muraenidae,Gymnothorax,ocellatus
Muraenidae,Gymnothorax,panamensis
Muraenidae,Gymnothorax,parini
Muraenidae,Gymnothorax,phalarus
Muraenidae,Gymnothorax,phasmatodes
Muraenidae,Gymnothorax,philippinus
Muraenidae,Gymnothorax,pictus
Muraenidae,Gymnothorax,pikei
Muraenidae,Gymnothorax,pindae
Muraenidae,Gymnothorax,polygonius
Muraenidae,Gymnothorax,polyspondylus
Muraenidae,Gymnothorax,polyuranodon
Muraenidae,Gymnothorax,porphyreus
Muraenidae,Gymnothorax,prasinus
Muraenidae,Gymnothorax,prionodon
Muraenidae,Gymnothorax,prismodon
Muraenidae,Gymnothorax,prolatus
Muraenidae,Gymnothorax,pseudoherrei
Muraenidae,Gymnothorax,pseudothyrsoideus
Muraenidae,Gymnothorax,punctatofasciatus
Muraenidae,Gymnothorax,punctatus
Muraenidae,Gymnothorax,randalli
Muraenidae,Gymnothorax,reevesii
Muraenidae,Gymnothorax,reticularis
Muraenidae,Gymnothorax,richardsonii
Muraenidae,Gymnothorax,robinsi
Muraenidae,Gymnothorax,rueppellii
Muraenidae,Gymnothorax,sagenodeta
Muraenidae,Gymnothorax,sagmacephalus
Muraenidae,Gymnothorax,saxicola
Muraenidae,Gymnothorax,serratidens
Muraenidae,Gymnothorax,sokotrensis
Muraenidae,Gymnothorax,steindachneri
Muraenidae,Gymnothorax,thyrsoideus
Muraenidae,Gymnothorax,tile
Muraenidae,Gymnothorax,undulatus
Muraenidae,Gymnothorax,unicolor
Muraenidae,Gymnothorax,vagrans
Muraenidae,Gymnothorax,verrilli
Muraenidae,Gymnothorax,vicinus
Muraenidae,Gymnothorax,woodwardi
Muraenidae,Gymnothorax,ypsilon
Muraenidae,Gymnothorax,zonipectis
Muraenidae,Monopenchelys,acuta
Muraenidae,Muraena,appendiculata
Muraenidae,Muraena,argus
Muraenidae,Muraena,australiae
Muraenidae,Muraena,clepsydra
Muraenidae,Muraena,helena
Muraenidae,Muraena,insularum
Muraenidae,Muraena,lentiginosa
Muraenidae,Muraena,melanotis
Muraenidae,Muraena,pavonina
Muraenidae,Muraena,retifera
Muraenidae,Muraena,robusta
Muraenidae,Pseudechidna,brummeri
Muraenidae,Rhinomuraena,quaesita
Muraenidae,Scuticaria,okinawae
Muraenidae,Scuticaria,tigrina
Muraenidae,Strophidon,sathete
Muraenidae,Uropterygius,concolor
Muraenidae,Uropterygius,fasciolatus
Muraenidae,Uropterygius,fuscoguttatus
Muraenidae,Uropterygius,genie
Muraenidae,Uropterygius,golanii
Muraenidae,Uropterygius,inornatus
Muraenidae,Uropterygius,kamar
Muraenidae,Uropterygius,macrocephalus
Muraenidae,Uropterygius,macularius
Muraenidae,Uropterygius,makatei
Muraenidae,Uropterygius,marmoratus
Muraenidae,Uropterygius,micropterus
Muraenidae,Uropterygius,nagoensis
Muraenidae,Uropterygius,polyspilus
Muraenidae,Uropterygius,polystictus
Muraenidae,Uropterygius,supraforatus
Muraenidae,Uropterygius,versutus
Muraenidae,Uropterygius,wheeleri
Muraenidae,Uropterygius,xanthopterus
Muraenidae,Uropterygius,xenodontus
Myrocongridae,Myroconger,compressus
Myrocongridae,Myroconger,gracilis
Myrocongridae,Myroconger,nigrodentatus
Myrocongridae,Myroconger,prolixus
Myrocongridae,Myroconger,seychellensis
Nemichthyidae,Avocettina,acuticeps
Nemichthyidae,Avocettina,bowersii
Nemichthyidae,Avocettina,infans
Nemichthyidae,Avocettina,paucipora
Nemichthyidae,Labichthys,carinatus
Nemichthyidae,Labichthys,yanoi
Nemichthyidae,Nemichthys,curvirostris
Nemichthyidae,Nemichthys,larseni
Nemichthyidae,Nemichthys,scolopaceus
Nettastomatidae,Facciolella,castlei
Nettastomatidae,Facciolella,equatorialis
Nettastomatidae,Facciolella,gilbertii
Nettastomatidae,Facciolella,karreri
Nettastomatidae,Facciolella,oxyrhyncha
Nettastomatidae,Facciolella,saurencheloides
Nettastomatidae,Hoplunnis,diomediana
Nettastomatidae,Hoplunnis,macrura
Nettastomatidae,Hoplunnis,megista
Nettastomatidae,Hoplunnis,pacifica
Nettastomatidae,Hoplunnis,punctata
Nettastomatidae,Hoplunnis,schmidti
Nettastomatidae,Hoplunnis,sicarius
Nettastomatidae,Hoplunnis,similis
Nettastomatidae,Hoplunnis,tenuis
Nettastomatidae,Leptocephalus,bellottii
Nettastomatidae,Nettastoma,falcinaris
Nettastomatidae,Nettastoma,melanurum
Nettastomatidae,Nettastoma,parviceps
Nettastomatidae,Nettastoma,solitarium
Nettastomatidae,Nettastoma,syntresis
Nettastomatidae,Nettenchelys,dionisi
Nettastomatidae,Nettenchelys,erroriensis
Nettastomatidae,Nettenchelys,exoria
Nettastomatidae,Nettenchelys,gephyra
Nettastomatidae,Nettenchelys,inion
Nettastomatidae,Nettenchelys,paxtoni
Nettastomatidae,Nettenchelys,pygmaea
Nettastomatidae,Nettenchelys,taylori
Nettastomatidae,Saurenchelys,cancrivora
Nettastomatidae,Saurenchelys,cognita
Nettastomatidae,Saurenchelys,fierasfer
Nettastomatidae,Saurenchelys,finitimus
Nettastomatidae,Saurenchelys,lateromaculatus
Nettastomatidae,Saurenchelys,meteori
Nettastomatidae,Saurenchelys,stylura
Nettastomatidae,Saurenchelys,taiwanensis
Nettastomatidae,Venefica,multiporosa
Nettastomatidae,Venefica,ocella
Nettastomatidae,Venefica,proboscidea
Nettastomatidae,Venefica,procera
Nettastomatidae,Venefica,tentaculata
Ophichthidae,Ahlia,egmontis
Ophichthidae,Allips,concolor
Ophichthidae,Aplatophis,chauliodus
Ophichthidae,Aplatophis,zorro
Ophichthidae,Aprognathodon,platyventris
Ophichthidae,Apterichtus,anguiformis
Ophichthidae,Apterichtus,ansp
Ophichthidae,Apterichtus,caecus
Ophichthidae,Apterichtus,equatorialis
Ophichthidae,Apterichtus,flavicaudus
Ophichthidae,Apterichtus,gracilis
Ophichthidae,Apterichtus,gymnocelus
Ophichthidae,Apterichtus,kendalli
Ophichthidae,Apterichtus,keramanus
Ophichthidae,Apterichtus,klazingai
Ophichthidae,Apterichtus,monodi
Ophichthidae,Apterichtus,moseri
Ophichthidae,Apterichtus,orientalis
Ophichthidae,Asarcenchelys,longimanus
Ophichthidae,Bascanichthys,bascanium
Ophichthidae,Bascanichthys,bascanoides
Ophichthidae,Bascanichthys,ceciliae
Ophichthidae,Bascanichthys,congoensis
Ophichthidae,Bascanichthys,cylindricus
Ophichthidae,Bascanichthys,deraniyagalai
Ophichthidae,Bascanichthys,fijiensis
Ophichthidae,Bascanichthys,filaria
Ophichthidae,Bascanichthys,inopinatus
Ophichthidae,Bascanichthys,kirkii
Ophichthidae,Bascanichthys,longipinnis
Ophichthidae,Bascanichthys,myersi
Ophichthidae,Bascanichthys,panamensis
Ophichthidae,Bascanichthys,paulensis
Ophichthidae,Bascanichthys,pusillus
Ophichthidae,Bascanichthys,scuticaris
Ophichthidae,Bascanichthys,sibogae
Ophichthidae,Benthenchelys,cartieri
Ophichthidae,Benthenchelys,indicus
Ophichthidae,Benthenchelys,pacificus
Ophichthidae,Brachysomophis,atlanticus
Ophichthidae,Brachysomophis,cirrocheilos
Ophichthidae,Brachysomophis,crocodilinus
Ophichthidae,Brachysomophis,henshawi
Ophichthidae,Brachysomophis,longipinnis
Ophichthidae,Brachysomophis,porphyreus
Ophichthidae,Brachysomophis,umbonis
Ophichthidae,Caecula,pterygera
Ophichthidae,Callechelys,bilinearis
Ophichthidae,Callechelys,bitaeniata
Ophichthidae,Callechelys,catostoma
Ophichthidae,Callechelys,cliffi
Ophichthidae,Callechelys,eristigma
Ophichthidae,Callechelys,galapagensis
Ophichthidae,Callechelys,guineensis
Ophichthidae,Callechelys,leucoptera
Ophichthidae,Callechelys,lutea
Ophichthidae,Callechelys,marmorata
Ophichthidae,Callechelys,muraena
Ophichthidae,Callechelys,papulosa
Ophichthidae,Callechelys,randalli
Ophichthidae,Callechelys,springeri
Ophichthidae,Callechelys,striata
Ophichthidae,Caralophia,loxochila
Ophichthidae,Cirrhimuraena,calamus
Ophichthidae,Cirrhimuraena,cheilopogon
Ophichthidae,Cirrhimuraena,chinensis
Ophichthidae,Cirrhimuraena,inhacae
Ophichthidae,Cirrhimuraena,oliveri
Ophichthidae,Cirrhimuraena,orientalis
Ophichthidae,Cirrhimuraena,paucidens
Ophichthidae,Cirrhimuraena,playfairii
Ophichthidae,Cirrhimuraena,tapeinoptera
Ophichthidae,Cirricaecula,johnsoni
Ophichthidae,Cirricaecula,macdowelli
Ophichthidae,Dalophis,boulengeri
Ophichthidae,Dalophis,cephalopeltis
Ophichthidae,Dalophis,imberbis
Ophichthidae,Dalophis,multidentatus
Ophichthidae,Dalophis,obtusirostris
Ophichthidae,Echelus,myrus
Ophichthidae,Echelus,pachyrhynchus
Ophichthidae,Echelus,uropterus
Ophichthidae,Echiophis,brunneus
Ophichthidae,Echiophis,creutzbergi
Ophichthidae,Echiophis,intertinctus
Ophichthidae,Echiophis,punctifer
Ophichthidae,Elapsopis,cyclorhinus
Ophichthidae,Elapsopis,versicolor
Ophichthidae,Ethadophis,akkistikos
Ophichthidae,Ethadophis,byrnei
Ophichthidae,Ethadophis,epinepheli
Ophichthidae,Ethadophis,foresti
Ophichthidae,Ethadophis,merenda
Ophichthidae,Evips,percinctus
Ophichthidae,Glenoglossa,wassi
Ophichthidae,Gordiichthys,combibus
Ophichthidae,Gordiichthys,ergodes
Ophichthidae,Gordiichthys,irretitus
Ophichthidae,Gordiichthys,leibyi
Ophichthidae,Gordiichthys,randalli
Ophichthidae,Hemerorhinus,heyningi
Ophichthidae,Hemerorhinus,opici
Ophichthidae,Herpetoichthys,fossatus
Ophichthidae,Hyphalophis,devius
Ophichthidae,Ichthyapus,acuticeps
Ophichthidae,Ichthyapus,omanensis
Ophichthidae,Ichthyapus,ophioneus
Ophichthidae,Ichthyapus,selachops
Ophichthidae,Ichthyapus,vulturis
Ophichthidae,Kertomichthys,blastorhinos
Ophichthidae,Lamnostoma,kampeni
Ophichthidae,Lamnostoma,mindora
Ophichthidae,Lamnostoma,orientalis
Ophichthidae,Lamnostoma,polyophthalma
Ophichthidae,Lamnostoma,taylori
Ophichthidae,Leiuranus,semicinctus
Ophichthidae,Leptenchelys,vermiformis
Ophichthidae,Leptocephalus,ophichthoides
Ophichthidae,Letharchus,aliculatus
Ophichthidae,Letharchus,rosenblatti
Ophichthidae,Letharchus,velifer
Ophichthidae,Lethogoleos,andersoni
Ophichthidae,Leuropharus,lasiops
Ophichthidae,Luthulenchelys,heemstraorum
Ophichthidae,Malvoliophis,pinguis
Ophichthidae,Mixomyrophis,pusillipinna
Ophichthidae,Muraenichthys,elerae
Ophichthidae,Muraenichthys,gymnopterus
Ophichthidae,Muraenichthys,iredalei
Ophichthidae,Muraenichthys,macrostomus
Ophichthidae,Muraenichthys,philippinensis
Ophichthidae,Muraenichthys,schultzei
Ophichthidae,Muraenichthys,sibogae
Ophichthidae,Muraenichthys,thompsoni
Ophichthidae,Myrichthys,aspetocheiros
Ophichthidae,Myrichthys,bleekeri
Ophichthidae,Myrichthys,breviceps
Ophichthidae,Myrichthys,colubrinus
Ophichthidae,Myrichthys,maculosus
Ophichthidae,Myrichthys,magnificus
Ophichthidae,Myrichthys,ocellatus
Ophichthidae,Myrichthys,pantostigmius
Ophichthidae,Myrichthys,pardalis
Ophichthidae,Myrichthys,tigrinus
Ophichthidae,Myrichthys,xysturus
Ophichthidae,Myrophis,anterodorsalis
Ophichthidae,Myrophis,cheni
Ophichthidae,Myrophis,lepturus
Ophichthidae,Myrophis,microchir
Ophichthidae,Myrophis,platyrhynchus
Ophichthidae,Myrophis,plumbeus
Ophichthidae,Myrophis,punctatus
